gene	cluster
GYG1	109
GYG2	109
GYS2	109
PPP1R3C	109
TXNRD2	109
AGTPBP1	110
PPFIA4	110
CCNA1	111
CDKN2B	111
TGFB1I1	111
RDH5	112
UBE2G1	112
PEX14	113
PNPLA3	113
CADPS	114
CLIP1	114
CDCA4	115
DOK5	115
ARSJ	116
HSD17B3	116
KDM3B	116
LMNB2	116
NBL1	116
NCS1	116
PRPF39	116
SPAG8	116
TRNAU1AP	116
ZMIZ2	116
CNTF	117
EXT1	117
ICAM5	118
KIF18A	118
DMTN	119
PTOV1	119
DIXDC1	120
E4F1	120
KRTAP10-4	120
ULK2	120
ZNF32	120
ZNF625	120
MAGI2	121
TTBK1	121
FOXA2	122
HOXB13	122
SALL1	122
ECT2	123
GPSM2	123
C11orf49	124
RAB29	124
HSPB9	125
P2RX4	125
PASK	125
RFPL2	125
WDR73	125
WNT4	125
WNT5A	125
ZNF507	125
CD58	126
FKBP14	126
FUT9	126
RAB27B	127
SYTL5	127
TRIM10	128
TRIM35	128
ADI1	129
ALDH5A1	129
ARFGAP2	129
GNPDA2	129
KDM3A	129
CNN2	130
ERP44	130
MAT1A	130
MAT2B	130
AGXT2	131
CYP2E1	131
ELOVL3	131
MUC20	131
NR2E1	132
TNRC6C	132
VRK3	132
FJX1	133
PIGN	133
HR	134
RARA	134
B3GNT5	135
CBX7	135
ANKRD2	136
FCMR	136
HOXC9	136
HOXD1	136
HOXD9	136
TUBA3C	136
ZNF384	136
ZNHIT3	136
AMD1	137
ASTL	137
JMJD8	137
WNT10B	137
FGFR2	138
HOXC6	138
EMILIN1	139
MTMR9	139
PLAC9	139
MRPL46	140
MRPL48	140
MTRES1	140
DYDC1	141
DYDC2	141
NME5	141
CCDC43	142
KLHL2	142
TXNDC12	142
ZNF114	142
HLA-DRB1	143
HLA-DRB5	143
ACSS3	144
LEFTY2	144
NMT2	145
ODF3L2	145
AP3B1	146
CCDC154	146
DDX20	146
KITLG	147
KLHDC10	147
DND1	148
RALGAPB	148
EID3	149
NSMCE2	149
NSMCE3	149
CDKN2AIPNL	150
PLEKHA8	150
BOLA3	151
DDAH1	151
DDAH2	151
GLDC	151
NRGN	151
NUDT6	151
ERAP1	152
HLA-DQB2	152
LITAF	153
REEP6	153
NUBP1	154
RCCD1	154
HSPB3	155
OLFML3	155
ADK	156
BMF	156
NNMT	156
SEC14L4	156
CEACAM5	157
DISP3	157
MYCBP	157
CA12	158
SMIM40	158
CCN3	159
FBXO21	159
CLASP2	160
SMYD2	160
KCTD21	161
KLHL14	161
INO80C	162
WBP2NL	162
ARHGDIB	163
RAC3	163
RHOC	163
RIPOR2	163
SUMO4	163
BAIAP2L1	164
IP6K3	164
EFNB3	165
P2RX7	165
FAM168A	166
OTULIN	166
GTPBP2	167
POLH	167
PLVAP	168
SMPD2	168
FGF10	169
ITIH2	169
GABRA3	170
UGT2B7	170
DNAJB8	171
SCGB2A1	171
TSGA13	171
BMERB1	172
RAPGEF4	172
SLC22A7	172
NDFIP1	173
POMT1	173
TMEM92	173
KLHL18	174
SMAP1	174
ARHGAP8	175
PRR5-ARHGAP8	175
MRPS11	176
MRPS18B	176
MRPS31	176
TRMT10B	176
BBX	177
SPAG1	177
BTG2	178
CNOT6L	178
BUD13	179
CTU1	179
CWC15	179
FHL5	179
PPRC1	179
PRKCB	179
PRKCD	179
SGCE	179
SHCBP1	179
SIRT5	179
ZNF131	179
ZNF446	179
EGFL7	180
EGFL8	180
LIME1	180
SLC4A7	180
ARID4B	181
CASP1	181
LCN1	182
PECR	182
ERCC2	183
ERCC3	183
GTF2H3	183
GTF2H4	183
GTF2H5	183
ABRAXAS1	184
VIRMA	184
WTAP	184
C19orf25	185
SCFD2	185
USE1	185
CEBPA	186
CEBPB	186
DBP	186
HLF	186
RASGRF1	186
NPTX1	187
TMEM132A	187
CDSN	188
CTSV	188
ECM1	188
MMRN1	188
FBH1	189
PRR3	189
MED11	190
MED13L	190
MED6	190
CHN1	191
HEMK1	191
GUCY1A2	192
GUCY1B1	192
LIN7A	192
MINDY3	192
FIBP	193
TMEM94	193
APLP2	194
NKTR	194
CIC	195
DCAF8	195
GABPB2	195
GTPBP3	195
PTAFR	195
CRLF3	196
LGALS14	196
TNR	196
FAM3C	197
GCNT2	197
NDUFS7	197
ACTR8	198
ATOX1	198
CCS	198
DCAF10	198
GGPS1	198
SCRN2	198
TAS2R41	198
XYLB	198
DCN	199
PLAT	199
C9orf163	200
LRRK1	200
RORB	201
TNNI2	201
IRF2BP2	202
IRF2BPL	202
PIFO	203
PSMG3	203
ADAM3B	204
KRT9	204
RREB1	205
TOR1AIP2	205
RBBP8	206
RGS17	206
GNAT2	207
UNC119B	207
IFNA5	208
IFNA6	208
NAA16	209
TSGA10IP	209
FCN1	210
SEZ6L2	210
ABCG8	211
AGPAT2	211
MAL2	211
RAB37	211
VARS2	211
LY6D	212
PKIB	212
C11orf68	213
KCNE3	213
GNAL	214
SPATA2	214
MYOM1	215
SYNE1	215
DOLK	216
KCNA3	216
KCNA6	216
CD81	217
INO80B	217
CASP10	218
CD86	218
FAM160B2	219
ZNF318	219
KLK13	220
SERPINE2	220
DET1	221
ETV1	221
GABRB1	222
NEUROD4	222
METTL6	223
STIM1	223
GNPNAT1	224
GPD1	224
DIPK1B	225
RBMS2	225
MOXD1	226
OBP2A	226
NCKAP1	227
WASF1	227
RAB3GAP1	228
TSEN34	228
KLHL36	229
PACRG	229
LDB3	230
NPC2	230
HIC2	231
PDK2	231
ABCC5	232
RBP5	232
SERPINA3	232
GFPT2	233
TARSL2	233
MICAL1	234
QRSL1	234
HOOK1	235
TBC1D7	235
PLA2G1B	236
SOCS2	236
ACOT13	237
TNN	237
FAM8A1	238
MBTPS2	238
CREB3L3	239
CREB3L4	239
BBS1	240
BBS7	240
ARMC5	241
DXO	241
